class,label,layer,subclass_of,since,abstract,definition,purpose,iri
WorkItem,Work Item,Perception,,2.0.0,false,"The unit of business work that the rest of the ontology is about: a claim, an application, an order, a case, a ticket.","Gives every Intent, Task, Action, and Observation a concrete subject, so that work can be followed end to end regardless of which systems, agents, or people touched it.",https://w3id.org/aow#WorkItem
Signal,Signal,Perception,,2.0.0,false,"A raw, time-stamped trace emitted by a system, a person, or the environment: an event, a log line, a user-interface interaction, a document arriving, a state change, a metric sample.","Anchors the ontology in what actually happened, before any interpretation. Signals are the evidence that Observations, Context, and audit trails are built from.",https://w3id.org/aow#Signal
Observation,Observation,Perception,,2.0.0,false,"An interpreted fact about a Work Item, Actor, or Action, derived from one or more Signals and carrying a Confidence.","Separates what was seen (Signal) from what it was taken to mean (Observation), so that a wrong interpretation can be traced and corrected without doubting the evidence.",https://w3id.org/aow#Observation
Objective,Objective,Cognition,,1.0.0,false,A business-level goal expressed in strategic or operational terms.,"Connects agentic activity to specific, measurable enterprise value.",https://w3id.org/aow#Objective
Intent,Intent,Cognition,,1.0.0,false,"A structured, actionable goal derived from an Objective and interpretable by agents, orchestrators, and people.","Turns a business goal into something that can be planned, assigned, governed, and checked.",https://w3id.org/aow#Intent
Context,Context,Cognition,,1.0.0,false,The structured situational information that gives relevance to an Intent.,"Makes the same Intent resolve differently for different situations, and records what an Actor knew when it acted.",https://w3id.org/aow#Context
Policy,Policy,Cognition,,1.0.0,false,"Declarative constraints defining permissible, required, or restricted behavior.",Makes governance explicit and machine-checkable. Policies constrain behavior; they never describe it.,https://w3id.org/aow#Policy
Plan,Plan,Cognition,,2.0.0,false,"An ordered or partially ordered set of Tasks intended to fulfill an Intent, produced by an Orchestrator or other Actor.","Separates deciding how to do something from doing it, so that plans can be inspected, approved, compared, and replayed.",https://w3id.org/aow#Plan
Task,Task,Execution,,2.0.0,false,"A unit of assigned work within a Plan, performed by an Actor filling a Role.","Gives ""task"" a single meaning. A Task is what gets assigned; an Action is what gets done; a Skill is what makes it possible.",https://w3id.org/aow#Task
Actor,Actor,Execution,,2.0.0,true,"Anything that can be assigned Tasks, perform Actions, and be held to account for them: an Agent, a person, an Orchestrator, or a Guardian.","Lets the ontology describe work the same way whoever performs it, so that work can move between people and agents without being re-modeled.",https://w3id.org/aow#Actor
Agent,Agent,Execution,Actor,1.0.0,false,"A software Actor that interprets Intents and Tasks and acts on them using Skills, within the autonomy it has been cleared for.","The primary performer of agentic work, described by what it may do rather than by how it is built.",https://w3id.org/aow#Agent
HumanActor,Human Actor,Execution,Actor,2.0.0,false,"A person who performs, approves, reviews, or oversees work.","Makes human-in-the-loop a first-class, traceable part of the model rather than an exception outside it.",https://w3id.org/aow#HumanActor
Orchestrator,Orchestrator,Execution,Actor,1.0.0,false,"A coordinating Actor that turns Intents into Plans, assigns Tasks to Actors, and manages sequencing and exceptions.",Decomposes and coordinates work so that no single Agent has to.,https://w3id.org/aow#Orchestrator
Guardian,Guardian,Assurance,Actor,1.0.0,false,"The oversight Actor that enforces Policy and Assurance Levels, monitors behavior, and escalates to people when needed.","Separates doing the work from checking the work, so that no Actor is its own only safeguard.",https://w3id.org/aow#Guardian
Role,Role,Execution,,2.0.0,false,"A named set of responsibilities and authority that an Actor can fill, such as ""claims adjuster"" or ""eligibility reviewer"".","Lets Tasks, Policies, and escalations target a responsibility rather than a specific person or agent, so either can fill it.",https://w3id.org/aow#Role
Skill,Skill,Execution,,1.0.0,false,A reusable capability that an Actor can invoke.,"Describes what can be done, with its inputs, outputs, cost, and side effects, so that it can be discovered, governed, and swapped.",https://w3id.org/aow#Skill
Action,Action,Execution,,1.0.0,false,"A single execution event in which an Actor invokes a Skill, in service of a Task, at a point in time.","The atom of accountability. Every Result traces back to an Action, and every Action to who did it, why, and under what authority.",https://w3id.org/aow#Action
Result,Result,Execution,,1.0.0,false,"The immediate, atomic effect or output of an Action.","Records what an Action changed or produced, so that it can be verified, rolled up into Outcomes, and fed back.",https://w3id.org/aow#Result
Confidence,Confidence,Assurance,,1.0.0,false,"A model-, rule-, or human-derived measure of certainty about an Observation, a Result, or an Action.",Lets autonomy depend on certainty: the same Agent may act alone when it is sure and escalate when it is not.,https://w3id.org/aow#Confidence
AssuranceLevel,Assurance Level,Assurance,,1.0.0,false,"A governance-set level of permitted autonomy, with the human oversight and evidence it requires.","Makes the choice between autonomy and human oversight explicit, graded, and checkable. AOW defines five levels, AL0 to AL4.",https://w3id.org/aow#AssuranceLevel
Outcome,Outcome,Assurance,,1.0.0,false,"The aggregated business impact of one or more Results, measured against an Objective.",Closes the loop between what agents did and what the business wanted.,https://w3id.org/aow#Outcome
Feedback,Feedback,Assurance,,1.0.0,false,"Structured information, from people or systems, used to improve future behavior.","Turns Outcomes, reviews, and incidents into specific, attributable changes.",https://w3id.org/aow#Feedback
Memory,Memory,Assurance,,1.0.0,true,"Persistent knowledge accumulated from experience, used to inform future Context.","Lets the system learn without retraining, and remember why it did what it did.",https://w3id.org/aow#Memory
OperationalMemory,Operational Memory,Assurance,Memory,1.0.0,false,"Short-lived, execution-oriented memory scoped to a session, Task, or Work Item.",Carries state across the steps of a single piece of work.,https://w3id.org/aow#OperationalMemory
KnowledgeBase,Knowledge Base,Assurance,Memory,1.0.0,false,"Long-lived memory of generalized patterns, rules, and precedents.",Carries what was learned from one piece of work into the next.,https://w3id.org/aow#KnowledgeBase
