key,rdf_property,label,inverse_label,domain,range,cardinality,required_on,prov_superproperty,description
serves_objective,aow:servesObjective,serves objective,produces intent,Intent,Objective,one,Intent,,The Objective an Intent was derived from.
shaped_by,aow:shapedBy,shaped by,shapes,Intent|Task,Context,many,,,Context that gives the Intent or Task its situational meaning.
draws_on,aow:drawsOn,draws on,informs,Context,Memory|Observation,many,,,Memory and Observations the Context was assembled from.
concerns,aow:concerns,concerns,is subject of,Intent|Task|Action,WorkItem,many,,,"The Work Item the Intent, Task, or Action is about."
constrained_by,aow:constrainedBy,constrained by,constrains,Intent|Plan|Task|Actor|Skill|Role,Policy,many,,,Policies that apply.
requires_assurance,aow:requiresAssurance,requires assurance,required by,Intent|Task|Skill,AssuranceLevel,one,Intent,,"The highest Assurance Level at which this work may be done. The effective level is the lowest of the Intent's, the Task's, the Skill's, and the performing Agent's autonomy_level."
realizes,aow:realizes,realizes,realized by,Plan,Intent,one,Plan,,The Intent the Plan is meant to fulfill.
planned_by,aow:plannedBy,planned by,plans,Plan,Actor,one,,,The Actor (usually an Orchestrator) that produced the Plan.
has_task,aow:hasTask,has task,part of plan,Plan,Task,many,,,The Tasks that make up the Plan.
depends_on,aow:dependsOn,depends on,prerequisite of,Task,Task,many,,,Tasks that must complete before this one can start.
assigned_to,aow:assignedTo,assigned to,assigned,Task,Actor,one,,,The Actor responsible for performing the Task.
requires_role,aow:requiresRole,requires role,required for,Task,Role,one,,,The Role an Actor must fill to take the Task.
fills_role,aow:fillsRole,fills role,filled by,Actor,Role,many,,,Roles the Actor is authorized to fill.
has_skill,aow:hasSkill,has skill,available to,Actor,Skill,many,,,Skills the Actor can invoke.
performed_by,aow:performedBy,performed by,performs,Action,Actor,one,Action,prov:wasAssociatedWith,The Actor that carried out the Action.
fulfills,aow:fulfills,fulfills,fulfilled through,Action,Task,one,,,The Task the Action was performed for.
invokes,aow:invokes,invokes,invoked by,Action,Skill,one,,,The Skill the Action used.
approved_by,aow:approvedBy,approved by,approves,Action|Plan|Result,HumanActor,many,,,"People who confirmed the Action, Plan, or Result before it took effect. Required whenever the effective Assurance Level or a Policy calls for human confirmation."
generated_by,aow:generatedBy,generated by,generated,Result|Signal|Observation,Action,one,Result,prov:wasGeneratedBy,"The Action that produced this Result, Signal, or Observation."
derived_from,aow:derivedFrom,derived from,source of,Observation,Signal,many,Observation,prov:wasDerivedFrom,The Signals an Observation was interpreted from.
about,aow:about,about,observed by,Observation,WorkItem|Actor|Action|Task,one,,,What the Observation describes.
affects,aow:affects,affects,affected by,Result,WorkItem,many,,,Work Items whose state the Result changed.
has_confidence,aow:hasConfidence,has confidence,confidence of,Result|Observation|Action|Plan,Confidence,one,,,"The Confidence attached to this Result, Observation, Action, or Plan."
compared_against,aow:comparedAgainst,compared against,threshold for,Confidence,AssuranceLevel,one,,,The Assurance Level whose confidence threshold the Confidence was checked against.
contributes_to,aow:contributesTo,contributes to,aggregates,Result,Outcome,many,,,Outcomes this Result counts toward.
evaluates,aow:evaluates,evaluates,evaluated by,Outcome,Objective,one,Outcome,,The Objective the Outcome is measured against.
feedback_on,aow:feedbackOn,feedback on,received feedback,Feedback,Outcome|Result|Action|Plan,many,Feedback,,What the Feedback is about.
provided_by,aow:providedBy,provided by,provided,Feedback,Actor,one,,,Who gave the Feedback.
updates,aow:updates,updates,updated by,Feedback,Policy|Memory|Plan|Skill|Actor|Context,many,,,What the Feedback changed.
writes_to,aow:writesTo,writes to,written by,Actor,Memory,many,,,Memory the Actor records its experience in.
enforces,aow:enforces,enforces,enforced by,Guardian,Policy|AssuranceLevel,many,,,The Policies and Assurance Levels the Guardian enforces.
oversees,aow:oversees,oversees,overseen by,Guardian,Actor|Plan|Skill,many,,,What the Guardian watches.
escalates_to,aow:escalatesTo,escalates to,escalation target of,Guardian|Policy,Role|HumanActor,many,,,Where escalations go.
